0.000000,0.000000,0.000000,0.000000
0.062832,0.000000,0.000000,0.062915
0.125664,0.000000,0.000000,0.126329
0.188496,0.000000,0.000000,0.190760
0.251327,0.000000,0.000000,0.256756
0.314159,0.000000,0.000000,0.324920
0.376991,0.000000,0.000000,0.395928
0.439823,0.000000,0.000000,0.470564
0.502655,0.000000,0.000000,0.549755
0.565487,0.000000,0.000000,0.634619
0.628319,0.000000,0.000000,0.726543
0.691150,0.000000,0.000000,0.827272
0.753982,0.000000,0.000000,0.939063
0.816814,0.000000,0.000000,1.064892
0.879646,0.000000,0.000000,1.208792
0.942478,0.000000,0.000000,1.376382
1.005310,0.000000,0.000000,1.575748
1.068142,0.000000,0.000000,1.818993
1.130973,0.000000,0.000000,2.125108
1.193805,0.000000,0.000000,2.525712
1.256637,0.000000,0.000000,3.077684
1.319469,0.000000,0.000000,3.894743
1.382301,0.000000,0.000000,5.242184
1.445133,0.000000,0.000000,7.915815
1.507964,0.000000,0.000000,15.894545
1.633628,0.000000,0.000000,-15.894545
1.696460,0.000000,0.000000,-7.915815
1.759292,0.000000,0.000000,-5.242184
1.822124,0.000000,0.000000,-3.894743
1.884956,0.000000,0.000000,-3.077684
1.947787,0.000000,0.000000,-2.525712
2.010619,0.000000,0.000000,-2.125108
2.073451,0.000000,0.000000,-1.818993
2.136283,0.000000,0.000000,-1.575748
2.199115,0.000000,0.000000,-1.376382
2.261947,0.000000,0.000000,-1.208792
2.324779,0.000000,0.000000,-1.064892
2.387610,0.000000,0.000000,-0.939063
2.450442,0.000000,0.000000,-0.827272
2.513274,0.000000,0.000000,-0.726543
2.576106,0.000000,0.000000,-0.634619
2.638938,0.000000,0.000000,-0.549755
2.701770,0.000000,0.000000,-0.470564
2.764602,0.000000,0.000000,-0.395928
2.827433,0.000000,0.000000,-0.324920
2.890265,0.000000,0.000000,-0.256756
2.953097,0.000000,0.000000,-0.190760
3.015929,0.000000,0.000000,-0.126329
3.078761,0.000000,0.000000,-0.062915
3.141593,0.000000,0.000000,0.000000
3.204425,0.000000,0.000000,0.062915
3.267256,0.000000,0.000000,0.126329
3.330088,0.000000,0.000000,0.190760
3.392920,0.000000,0.000000,0.256756
3.455752,0.000000,0.000000,0.324920
3.518584,0.000000,0.000000,0.395928
3.581416,0.000000,0.000000,0.470564
3.644247,0.000000,0.000000,0.549755
3.707079,0.000000,0.000000,0.634619
3.769911,0.000000,0.000000,0.726543
3.832743,0.000000,0.000000,0.827272
3.895575,0.000000,0.000000,0.939063
3.958407,0.000000,0.000000,1.064892
4.021239,0.000000,0.000000,1.208792
4.084070,0.000000,0.000000,1.376382
4.146902,0.000000,0.000000,1.575748
4.209734,0.000000,0.000000,1.818993
4.272566,0.000000,0.000000,2.125108
4.335398,0.000000,0.000000,2.525712
4.398230,0.000000,0.000000,3.077684
4.461062,0.000000,0.000000,3.894743
4.523893,0.000000,0.000000,5.242184
4.586725,0.000000,0.000000,7.915815
4.649557,0.000000,0.000000,15.894545
4.775221,0.000000,0.000000,-15.894545
4.838053,0.000000,0.000000,-7.915815
4.900885,0.000000,0.000000,-5.242184
4.963716,0.000000,0.000000,-3.894743
5.026548,0.000000,0.000000,-3.077684
5.089380,0.000000,0.000000,-2.525712
5.152212,0.000000,0.000000,-2.125108
5.215044,0.000000,0.000000,-1.818993
5.277876,0.000000,0.000000,-1.575748
5.340708,0.000000,0.000000,-1.376382
5.403539,0.000000,0.000000,-1.208792
5.466371,0.000000,0.000000,-1.064892
5.529203,0.000000,0.000000,-0.939063
5.592035,0.000000,0.000000,-0.827272
5.654867,0.000000,0.000000,-0.726543
5.717699,0.000000,0.000000,-0.634619
5.780530,0.000000,0.000000,-0.549755
5.843362,0.000000,0.000000,-0.470564
5.906194,0.000000,0.000000,-0.395928
5.969026,0.000000,0.000000,-0.324920
6.031858,0.000000,0.000000,-0.256756
6.094690,0.000000,0.000000,-0.190760
6.157522,0.000000,0.000000,-0.126329
6.220353,0.000000,0.000000,-0.062915
